feature,anova_energy,component_std,model_kernel_curvature,laplacian_energy,kernel_states
hr,1.3031041123733687,1.1415358568058074,0.39451734713657216,0.5843591595318015,24
temp,0.09101006878874576,0.30167875097319297,0.009920561994292493,0.0017082939033875512,48
yr,0.04872686963283666,0.22074163547649242,1.0000000000000002,0.19492399836737567,2
mnth,0.015476863551086656,0.12440604306498401,0.8154090020417067,0.015312890176370386,12
hum,0.011736777226070893,0.10833640766644836,0.15339098308945814,0.003590974179765305,80
weathersit,0.010171377152572374,0.10085324562240114,0.8989575412150872,0.0437396072883204,4
weekday,0.005509463004347749,0.07422575701431242,0.9033386387080156,0.0067267332685980764,7
windspeed,0.002398524341128197,0.04897473165958336,0.0669901519636887,0.0009795950393393783,26
holiday,0.000542380501713276,0.023289063993928053,0.9999999999999998,0.01922509316573167,2
workingday,0.00027973800714535904,0.016725370164673754,1.0,0.0013204999882490943,2
