feature_1,feature_2,screen_gain,pair_oof_mae,baseline_oof_mae
hr,workingday,0.05154091718714532,0.3961286780168137,0.447669595203959
hr,weekday,0.03810978576058005,0.40955980944337894,0.447669595203959
hr,holiday,0.003995577148999785,0.4436740180549592,0.447669595203959
hr,hum,0.0027780146321698673,0.4448915805717891,0.447669595203959
hr,weathersit,0.0022940917629142854,0.4453755034410447,0.447669595203959
weathersit,hum,0.0013614650080028823,0.4463081301959561,0.447669595203959
temp,hum,0.00124127006380359,0.4464283251401554,0.447669595203959
hr,yr,0.0011048231535319974,0.446564772050427,0.447669595203959
yr,hum,0.0009659778978416966,0.4467036173061173,0.447669595203959
hum,windspeed,0.0007041928569441747,0.4469654023470148,0.447669595203959
workingday,hum,0.0005156219042334875,0.4471539732997255,0.447669595203959
holiday,hum,0.00036359641632938144,0.4473059987876296,0.447669595203959
hr,temp,0.0002832690967047302,0.44738632610725426,0.447669595203959
mnth,holiday,0.00020710315101768462,0.4474624920529413,0.447669595203959
yr,temp,6.961609665645518e-05,0.44759997910730254,0.447669595203959
workingday,temp,-2.7864231821328467e-05,0.4476974594357803,0.447669595203959
weekday,temp,-5.069684829006604e-05,0.44772029205224906,0.447669595203959
mnth,workingday,-7.365625542660181e-05,0.4477432514593856,0.447669595203959
weekday,hum,-0.00010040904010555352,0.44777000424406455,0.447669595203959
mnth,temp,-0.0002001917110859841,0.447869786915045,0.447669595203959
workingday,weathersit,-0.0002296083895901857,0.4478992035935492,0.447669595203959
weathersit,windspeed,-0.00023687947554662525,0.4479064746795056,0.447669595203959
mnth,hum,-0.00041085062146511975,0.4480804458254241,0.447669595203959
mnth,yr,-0.00048147085075117557,0.44815106605471017,0.447669595203959
weekday,holiday,-0.0004877785163067694,0.44815737372026576,0.447669595203959
weekday,yr,-0.0005755410764332058,0.4482451362803922,0.447669595203959
weekday,workingday,-0.0005991794138607842,0.4482687746178198,0.447669595203959
yr,workingday,-0.0006019735050360464,0.44827156870899504,0.447669595203959
temp,windspeed,-0.0006110207160345271,0.4482806159199935,0.447669595203959
mnth,hr,-0.0006558804232654758,0.44832547562722447,0.447669595203959
holiday,workingday,-0.0007572516847459965,0.448426846888705,0.447669595203959
holiday,windspeed,-0.0008066224052887261,0.4484762176092477,0.447669595203959
workingday,windspeed,-0.0008218527891255545,0.44849144799308455,0.447669595203959
holiday,temp,-0.0008703352279553211,0.4485399304319143,0.447669595203959
hr,windspeed,-0.0010292891459058873,0.4486988843498649,0.447669595203959
mnth,windspeed,-0.0010891668884032701,0.44875876209236226,0.447669595203959
weathersit,temp,-0.001333748462045592,0.4490033436660046,0.447669595203959
yr,weathersit,-0.0014699247088158507,0.44913951991277484,0.447669595203959
holiday,weathersit,-0.001472121177942931,0.4491417163819019,0.447669595203959
mnth,weekday,-0.0015126833303978904,0.4491822785343569,0.447669595203959
weekday,windspeed,-0.001581999343951812,0.4492515945479108,0.447669595203959
yr,holiday,-0.0016854460847423036,0.4493550412887013,0.447669595203959
mnth,weathersit,-0.001748515614169499,0.4494181108181285,0.447669595203959
weekday,weathersit,-0.001823418170437796,0.4494930133743968,0.447669595203959
yr,windspeed,-0.0028977296111886153,0.4505673248151476,0.447669595203959
