feature_1,feature_2,screen_gain,pair_oof_mae,baseline_oof_mae
Latitude,Longitude,0.013087709937617598,0.11616790708734853,0.12925561702496613
AveOccup,Longitude,0.0016854573206183943,0.12757015970434774,0.12925561702496613
HouseAge,AveOccup,0.0014073358417109327,0.1278482811832552,0.12925561702496613
AveOccup,Latitude,0.0009332829472741833,0.12832233407769195,0.12925561702496613
MedInc,Longitude,0.0008254755351691512,0.12843014148979698,0.12925561702496613
MedInc,Latitude,0.0007152646843975041,0.12854035234056863,0.12925561702496613
MedInc,AveOccup,0.0007011372571234797,0.12855447976784265,0.12925561702496613
AveRooms,AveOccup,0.0006141366385843949,0.12864148038638173,0.12925561702496613
AveRooms,Longitude,0.0004920107393098783,0.12876360628565625,0.12925561702496613
HouseAge,Latitude,0.00048025250564556754,0.12877536451932056,0.12925561702496613
MedInc,AveRooms,0.00044833313892153615,0.1288072838860446,0.12925561702496613
HouseAge,Longitude,0.00039976318652210074,0.12885585383844403,0.12925561702496613
Population,AveOccup,0.00034100319995233885,0.1289146138250138,0.12925561702496613
AveBedrms,Longitude,0.00029133268151207425,0.12896428434345406,0.12925561702496613
MedInc,HouseAge,0.00027218648896346065,0.12898343053600267,0.12925561702496613
Population,Longitude,0.0002442119453507363,0.1290114050796154,0.12925561702496613
AveRooms,AveBedrms,0.00015748446738564348,0.12909813255758049,0.12925561702496613
AveRooms,Population,0.00014638194617072608,0.1291092350787954,0.12925561702496613
AveBedrms,AveOccup,0.00014616244784160237,0.12910945457712453,0.12925561702496613
MedInc,AveBedrms,0.00011035502855116786,0.12914526199641496,0.12925561702496613
Population,Latitude,0.0001075407779568549,0.12914807624700927,0.12925561702496613
HouseAge,Population,0.00010569710992269776,0.12914991991504343,0.12925561702496613
AveRooms,Latitude,9.835983843031748e-05,0.1291572571865358,0.12925561702496613
AveBedrms,Population,7.666462494110293e-05,0.12917895240002503,0.12925561702496613
HouseAge,AveBedrms,6.947373257912282e-05,0.129186143292387,0.12925561702496613
AveBedrms,Latitude,5.2378873356212496e-05,0.12920323815160992,0.12925561702496613
MedInc,Population,4.335982538031247e-05,0.12921225719958582,0.12925561702496613
HouseAge,AveRooms,1.964946586718863e-06,0.1292536520783794,0.12925561702496613
